tweet,username,after_incident
"This Sunday, February 24, 2019, is Health & Wellness Sunday: A Focus on Healthy Aging. Featuring a performance by #gospel recording artist @VaShawnMitchell. #JoinUs at our East Campus for Morning worship at 10:30A (5600 Read Blvd, New Orleans, LA 70127). ",GSS_FGBC,0
"RT KATCTV3 ""All lanes are now open I-10 East at LA 98 (Rayne)""",LFT411,0
All lanes are now open I-10 East at LA 98 (Rayne),KATCTV3,0
All lanes are now open I-10 East at LA 98 (Rayne). Congestion is minimal.,Laf_Traffic,0
"there are so many freeways to choose from that are bad there, the 5, the 101, the 10, and the 91 going from Anaheim area east into Riverside...in the morning/afternoons the 91 is about 2-3 hours to go something like 20 miles or so... LA is 30+ years behind in traffic control",baconelf,0
RT BR_Traffic All lanes are open I-10 East on the Mississippi River Bridge. Congestion remains 2 miles before LA 415 (Lobdell).,BTRtraffic,0
All lanes are open I-10 East on the Mississippi River Bridge. Congestion remains 2 miles before LA 415 (Lobdell).,BR_Traffic,0
RT BR_Traffic The right lane is blocked I-10 East on the Mississippi River Bridge due to a stalled vehicle. Congestion has reached 3 miles before LA 415 (Lobdell). Use caution.,BTRtraffic,0
The right lane is blocked I-10 East on the Mississippi River Bridge due to a stalled vehicle. Congestion has reached 3 miles before LA 415 (Lobdell). Use caution.,BR_Traffic,0
"RT KATCTV3 ""The right lane is blocked I-10 East at LA 98 (Rayne) due to a vehicle fire. Congestion is approaching four miles.""",LFT411,0
The right lane is blocked I-10 East at LA 98 (Rayne) due to a vehicle fire. Congestion is approaching four miles.,KATCTV3,0
The right lane is blocked I-10 East at LA 98 (Rayne) due to a vehicle fire. Congestion is approaching four miles.,Laf_Traffic,0
2:09pm.. All lanes are open I-10 East at LA 1 (Port Allen) after a breakdown,TotalTrafficBTR,0
RT BR_Traffic All lanes are open I-10 East at LA 1 (Port Allen). Congestion has reached approximately 4 miles before LA 415 (Lobdell).,BTRtraffic,0
All lanes are open I-10 East at LA 1 (Port Allen). Congestion has reached approximately 4 miles before LA 415 (Lobdell).,BR_Traffic,0
RT BR_Traffic The center lane is blocked I-10 East at LA 1 (Port Allen) due to a disabled tractor trailer. Congestion has reached approximately 3 miles before LA 415 (Lobdell).,BTRtraffic,0
2pm.. stalled tractor trailer blocking the center lane on I-10 East at LA 1 (Port Allen),TotalTrafficBTR,0
@Krewella @KrewellaJahan this is rai. Hes the horse i got when he was 2 and i 10. Broke and trained all myself. Stolen and sold 3 years ago... just got him back 2 days ago. Hes not happy that he has to keep working haha. He now has a forever home with me till the end ,QueenOfTheKrew,1
Holiday Inn #BatonRouge College Drive I-10 #Expedia #Travel #Deals #hotels #flights,travelbagtours,1
Accident in #ElPaso on I 10 EB at Piedras St #traffic http://bit.ly/14Tvoo7,TotalTrafficELP,1
"I'm at I-605 / I-10 Interchange in El Monte, CA https://www.swarmapp.com/c/k2EOP9QEfBK",hapaniki,1
Ask your therapist if the matrix is right for you!!!!! I 10/10 would not recommend,philanTHOTpy,1
[INDIO] Indio I10 W Wo / Chiriaco Summit **Trfc Collision-Unkn Inj** http://m.chp.ca.gov/incident.aspx?id=190224IC00140,chp_riv,1
Accident. exit ramp blocked. in #Bexar on Lp 1604 WB at I-10 #traffic http://bit.ly/17hwv06,TotalTrafficSAT,1
+++ I 10 COMANDAMENTI DI MADRE NATURA: UN INNO ALL'EQUILIBRIO +++ https://goo.gl/rzmNbj,terrarealtime,1
I 10/10 recommend @JambaJuice,meganpeterson_,1
They stopped making music for you and I 10 years ago,AMENREMINISCE,1
"I’m such a horror whore. I love scary movies but in real life if you come from around the corner I 10/10 would probably jump, have a mini heart attack, &amp; throw my hands up in the first karate move I can think of. So there’s that.",EmbodyGold,1
All lanes are on I-10 West at Veterans Boulevard. Congestion from this incident has reached Causeway Boulevard.,NOLA_Traffic,1
Baldwin Park I10 W / Kellogg Dr **Trfc Collision-No Inj** http://m.chp.ca.gov/incident.aspx?id=190224LA01354,chp_la,1
Baldwin Park I10 W / Kellogg Dr **Traffic Break** http://m.chp.ca.gov/incident.aspx?id=190224LA01343,chp_la,1
"Four butterflies splattered against my windshield on my way back from checking out wildflowers off I-10 at Cottonwood Springs Road. Yes, THAT’S happening again. @MyDesert",TDSColinAtagi,1
West LA I405 S / I10 E I405 N Con **Trfc Collision-Unkn Inj** http://m.chp.ca.gov/incident.aspx?id=190224LA01332,chp_la,1
"Crash on I-10 W #NOLAtraffic still delaying traffic 21m more than usual https://www.waze.com/ul?ll=30.003049,-90.1950445&amp;navigate=yes&amp;zoom=15&amp;utm_source=partner&amp;utm_medium=twitterfeed&amp;utm_campaign=WazeTrafficNO",WazeTrafficNOLA,1
Who knew the i10 had 51 in it tbh,hennerz_,1
"Gwen: S 2, P 7, E 2, C 6, I 10, A 8, L 7. Traits Good nature, small frame. Karma 30.",NumbernameNSFW,1
Right where I-10 goes to 610,catherineeewood,1
Driving on the I-10 will for sure ruin your car. I’ve learned from tragic personal experience,little_meggg,1
The two right lanes are blocked on I-10 West at Veterans Boulevard due to an accident. Congestion from this incident has reached Clearview Parkway.,NOLA_Traffic,1
"ICYMI: Do you travel daily through the I-10 Broadway Curve, which handles approx 40% of freeway traffic in metro Phoenix? If so, please consider attending our public meeting on Tuesday night and learn what improvements may be in store. More: http://bit.ly/2GJ2Vei #PhxTraffic",ArizonaDOT,1
That’s I10 lol,planperfecto,1
Central LA I5 N / I10 E **Live or Dead Animal** http://m.chp.ca.gov/incident.aspx?id=190224LA01259,chp_la,1
"1:30 PM: Use caution when driving in downpours! Showers and a few t’storms will move eastward across the #Jacksonville metro area through 2:30 PM, with briefly heavy downpours expected for locations along and especially south of I-10 #flwx #jaxwx @jaxready",AustinsService,1
if this is the smoke visible from i-10 rn it’s a big fucking fire ,squid455,1
I LOVE the light at Cortaro and I-10. It's the best!! #thisintersectionisthesuckiestintucson,OliOliOoh,1
"My son and I (10) were there..!!!! Daddy broke his collar bone, so I went instead..!!! Fab evening, and a world record to boot..!!!!!!",asgsFoster4,1
PSA: Red undercover Challenger on Pecos right after the I-10 ramp watching both sides of traffic,N8thesortaGr8,1
Dev defines multi kills as 8 in 10 secs. I'm stuck too,mmbopp99,1
RT BR_Traffic All lanes are now open I-10 West at Acadian Thruway. Congestion has reached the I-10/I-12.,BTRtraffic,1
All lanes are now open I-10 West at Acadian Thruway. Congestion has reached the I-10/I-12.,BR_Traffic,1
REMINDER: A public meeting is planned Tuesday on the I-10 Broadway Curve Study. MORE: http://bit.ly/2tAF1sN,ArizonaDOT,1
I am definately ready haven't gamed I 10 years since I became disabled can't afford to buy one on ssdi,KevinLavoie69,1
"1:30 PM: Use caution when driving in downpours! Showers and a few t’storms will move eastward across the #Jacksonville metro area through 2:30 PM, with briefly heavy downpours expected for locations along and especially south of I-10 #flwx #jaxwx jaxready",JaxSkywarn,1
I-10 East at Sunland Park to close for 27 hours starting Sunday https://www.ktsm.com/news/traffic/i-10-east-at-sunland-park-to-close-for-27-hours-starting-sunday/1804823022,harveye83,1
"1:30 PM: Use caution when driving in downpours! Showers and a few t’storms will move eastward across the #Jacksonville metro area through 2:30 PM, with briefly heavy downpours expected for locations along and especially south of I-10 #flwx #jaxwx jaxready",clayares,1
"1:30 PM: Use caution when driving in downpours! Showers and a few t’storms will move eastward across the #Jacksonville metro area through 2:30 PM, with briefly heavy downpours expected for locations along and especially south of I-10 #flwx #jaxwx @jaxready",NWSJacksonville,1
RT BR_Traffic The right lane is blocked I-10 West at Acadian Thruway due to a stalled vehicle. Congestion has reached College Drive.,BTRtraffic,1
The right lane is blocked I-10 West at Acadian Thruway due to a stalled vehicle. Congestion has reached College Drive.,BR_Traffic,1
The damage along I-10 is crazy. First time seeing the hurricane damage and damn it tore the whole panhandle up,Cory_Hays407,1
Accident cleared in #Phoenix on I - 10 EB west of 59th Ave --- Exit 138 #PHXtraffic http://bit.ly/17hvnJU,TotalTrafficPHX,1
HOLD THE DATE!! December 25th we need to exchange gifts and praise the guy selling oranges below the on-ramp on I-10,XRobsPunchinBag,1
Vehicle fire has been put out but the access roads are blocked. in #SanAntonio on E I-10 Access Rd EB between Hackberry St and New Braunfels,TotalTrafficSAT,1
#firstalertwx our Sunday afternoon showers will reach most of the I-10 corridor 2-3pm then all the way to the beaches. 15-20 degree temp. drop by late afternoon @WOKVNews,MikeFirstAlert,1
"Accident, shoulder blocked in #Maricopa on I - 10 WB at Wild Horse Pass Blvd --- Exit 162 #PHXtraffic http://bit.ly/17hvnJU",TotalTrafficPHX,1
All lanes are open on I-10 West at Veterans Boulevard. Congestion from this incident is minimal.,NOLA_Traffic,1
Accident reported in #Phoenix on I - 10 WB at 16th St --- Exit 146 #PHXtraffic http://bit.ly/17hvnJU,TotalTrafficPHX,1
Vehicle on fire in #SanAntonio on E I-10 Access Rd EB before New Braunfels #traffic http://bit.ly/17hwv06,TotalTrafficSAT,1
"Accident in #WestSide on I-10 WB at Taylor, stop and go traffic back to I-45, delay of 2 mins #traffic http://bit.ly/17hsIjn",TotalTrafficHOU,1
"Accident, shoulder blocked in #Phoenix on I - 10 EB west of 59th Ave --- Exit 138 #PHXtraffic http://bit.ly/17hvnJU",TotalTrafficPHX,1
REMINDER: I-10 eastbound is closed at Sunland Park https://www.kvia.com/news/reminder-i-10-eastbound-is-closed-at-sunland-park/1038183063,fortblissspouse,1
HAPPENING NOW: Another 27-hour closure on I-10 East at Sunland Park https://www.kvia.com/news/reminder-i-10-eastbound-is-closed-at-sunland-park/1038183063,abc7breaking,1
"Fayette County, TEXAS! Next time you're traveling I10 on your way to Houston, and you find yourself between Flatonia &amp; Schulenberg, look north &amp; wave!!! ",ryan102857,1
Walking home I met a fellow regular. We talked about the weather. He said “ I hear they talk of snow I 10 days”,sospainter,1
@ArizonaDOT any closures on the I-10 westbound?,sickazzstoner,1
Closed due to road construction in #Houston on 610 W Lp SB between I-10 The Katy Fwy and Post Oak Blvd. #traffic http://bit.ly/17hsIjn,TotalTrafficHOU,1
East LA I10 W / Santa Anita Ave **Trfc Collision-1141 Enrt** http://m.chp.ca.gov/incident.aspx?id=190223LA03188,chp_la,1
[IE] San Bernardino I10 E Wo / 9th St **Animal Hazard** http://m.chp.ca.gov/incident.aspx?id=190224IN00455,chp_riv,1
The left lane is blocked on I-10 West at Veterans Boulevard due to an accident. Congestion from this incident is minimal.,NOLA_Traffic,1
im trying really hard to stay positive about going to work today bc i 10/10 DO NOT want to go in ,madelynnmoniek,1
"""Toll avoidance"" is weighing on state and local officials as they explore ways to pay for the $2 billion I-10 Mobile River Bridge and Bayway widening project. It would be the first tollway in Alabama aside from four privately-owned bridges. ",JohnSharp99,1
"If you're headed to @poisonedpen for my 2pm event there w/ @JudithStarkston, check the traffic! There are big construction closures on I-10 &amp; 101 N. Looks like I'll need to leave extra early for that reason. :\",BethCato,1
I-10 by 10 ,NalayaHenderson,1
New Orleans LA USA - Automotive Service Technicians - All Skill Levels - 13040 I-10 Service Road New: 13040 I-10 Service Road New Orleans LA 70128 Automotive Service Technicians All Skill Levels 2 Years of Experience Prefe http://dld.bz/hs9Q9,Service_Guide,1
Opportunity Zone Tracts at I-10 and University Ave http://zpr.io/gxmzd,QuantumListing,1
 Traffic Report - A section of westbound Loop 101 in north Phoenix will be closed. - Westbound I-10 will be narrowed to one lane at 67th Avenue. - Eastbound I-10 will be narrowed to one lane at 59th Avenue from 7 PM Sunday to 4 AM Monday. ,ArizonaCoyotes,1
Love the false logic of you and fellow lefties: Anyone questioning viability of 100% transition to renewable (presumably non-hydro/non-nuke) w/i 10 years-which is impossible-is a defender of plutocracy.,JAlfredPrufro13,1
Baby oh yes no no Come come come tent delete delete space under sentence under sentence… baby oil is good I didn’t I didn’t I didn’t I tell you tell her good I didn’t I 10,glitterpuzzle,1
"11:25 AM: When thunder roars, go indoors! Heavy showers and isolated t’storms are moving quickly eastward across the Suwannee Valley. Winds of 35-45 mph may accompany downpours near Live Oak that will move along I-10 towards Lake City towards 12:30 PM #f…",JaxSkywarn,1
"11:25 AM: When thunder roars, go indoors! Heavy showers and isolated t’storms are moving quickly eastward across the Suwannee Valley. Winds of 35-45 mph may accompany downpours near Live Oak that will move along I-10 towards Lake City towards 12:30 PM #f…",clayares,1
"11:25 AM: When thunder roars, go indoors! Heavy showers and isolated t’storms are moving quickly eastward across the Suwannee Valley. Winds of 35-45 mph may accompany downpours near Live Oak that will move along I-10 towards Lake City towards 12:30 PM #flwx",NWSJacksonville,1
How to pair i10 TWS to Iphone 8 or Iphone 8 plus https://youtu.be/Gv-FQVkdJ-M via @YouTube,ENVYLIGER,1
East LA I605 N / I10 E Con **Trfc Collision-No Inj** http://m.chp.ca.gov/incident.aspx?id=190224LA00937,chp_la,1
RT BR_Traffic All lanes are open I-10 West before Siegen Lane. Congestion has reached 1 mile in length.,BTRtraffic,1
All lanes are open I-10 West before Siegen Lane. Congestion has reached 1 mile in length.,BR_Traffic,1
[IE] Rancho Cucamonga I10 W At / I15 **Hit and Run No Injuries** http://m.chp.ca.gov/incident.aspx?id=190224IN00412,chp_riv,1
RT BR_Traffic The right lane is blocked I-10 West before Siegen Lane due to an accident. Congestion has reached Highland Road.,BTRtraffic,1
Well my i10 is in for repairs on brakes tomorrow morning. Cut grass again yesterday . Gonna be a long season.,starshiphonda,1
The right lane is blocked I-10 West before Siegen Lane due to an accident. Congestion has reached Highland Road.,BR_Traffic,1
"""I10 by 10""",iAmThe_A,1
"@POTUS Have you see I-75, or the 5, or Hwy I-10?!! All need serious repair! Why aren’t you fixing our roads, bridges, and highways? Those are all great construction jobs for hard working folks!!! Get off the toilet and some people to work! #DOT",commenttress,1
My watch costs as much as a your i10 ,shiman_e,1
I don’t think this poll counted enough of the evangelical lemmings north of I10 who re-elected Lyin Ted. 2020 isn’t going to be easy for the Dems in Texas. #Beto2020,ChrisPatriarca,1
Central LA Sr60 W / I5 N I10 W Con **Report of Fire** http://m.chp.ca.gov/incident.aspx?id=190224LA00888,chp_la,1
I live in SW Louisiana on I-10. Catching large amounts of illegals and drugs. Thank you for building the wall to protect me and my family. We love you and your family. We pray for you. ,jackiebdupree,1
This happened to us last weekend with a rollover accident on the I-10.,myoiacat,1
[INDIO] San Gorgonio Pass I10 E Wo / Oak Valley Pkwy Mm 5 **Trfc Collision-Unkn Inj** http://m.chp.ca.gov/incident.aspx?id=190224IC00064,chp_riv,1
TRAFFIC REMINDER: I-10 East will remain completely closed at Sunland Park through early Monday morning as crews continue working on the @GO10EP Project. https://www.ktsm.com/news/traffic/i-10-east-at-sunland-park-to-close-for-27-hours-starting-sunday/1804823022,KTSMtv,1
I fell asleep at 8 o’clock last night and didn’t wake until 10 am today. Am I 10 again?,AdamMcquade,1
Closed due to maintenance work. in #Bexar on I-10 WB between Roland and S Walters Rd #traffic http://bit.ly/17hwv06,TotalTrafficSAT,1
Closed due to maintenance work. in #SanAntonio on I-10 EB between S Walters Rd and Roland #traffic http://bit.ly/17hwv06,TotalTrafficSAT,1
All lanes are open on US 51 at I-10. Congestion is minimal.,NOLA_Traffic,1
All lanes are open on US 51 at I-10. Congestion is minimal.,NS_Traffic,1
Maintenance work on the right shoulder. in #SanAntonio on I-10 EB between S Walters Rd and Roland #traffic http://bit.ly/17hwv06,TotalTrafficSAT,1
"Steve, this is impressive and enviable! Great i10 score also.",rwilly2003,1
Couple of mosques also built on the park on Chambeli Road I-10 for years now. What's the status of those? Are they approved by CDA?,Abbbasi_,1
Intense read. Reminds me of I-10 in New Orleans. How to Decimate A City - The Atlantic https://buff.ly/2TIpCma,jmjafrx,1
The Latest: Part of I-10 closed because of snow ,ColleyTam444,1
Closure caused by maintenance work. in #Bexar on I-10 WB between Roland and S Walters Rd #traffic http://bit.ly/17hwv06,TotalTrafficSAT,1
Closure caused by maintenance work. in #SanAntonio on I-10 EB between S Walters Rd and Roland #traffic http://bit.ly/17hwv06,TotalTrafficSAT,1
Blocked in #SanJacintoMountains on Hwy 243 Both NB/SB between Mcgovern Rd and I 10 #LAtraffic http://bit.ly/10F395r,TotalTrafficLA,1
Closed due to road construction in #Bexar on I-10 WB between Roland and S Walters Rd #traffic http://bit.ly/17hwv06,TotalTrafficSAT,1
Total closure due to road construction in #Houston on 610 W Lp SB between I-10 The Katy Fwy and Post Oak Blvd. #traffic,TotalTrafficHOU,1
idk if you’re aiming this at me so i’m just gonna go ahead and say i 10/10 agree with you incase my point wasn’t clear lmao,krbangtan,1
All lanes are open I-10 East at mile marker 121 (Butte La Rose). Congestion remains minimal.,Laf_Traffic,1
"I-10: Due to possible High Winds, Motorists are advised to use caution on the Blackwater Bay Bridge near Mile...http://fl511.com/List/Alerts",fl511_panhandl,1
"I-10: Due to possible High Winds, Motorists are advised to use caution on the Blackwater Bay Bridge near Mile...http://fl511.com/List/Alerts",fl511_state,1
@La_DOTD when is I-10 connector road project underway??? http://www.wbrcouncil.org/ProjectProposal,BTRarea,1
"I-10: Due to possible High Winds, Motorists are advised to use caution on the Escambia Bay Bridge near Mile...http://fl511.com/List/Alerts",fl511_panhandl,1
"I-10: Due to possible High Winds, Motorists are advised to use caution on the Escambia Bay Bridge near Mile...http://fl511.com/List/Alerts",fl511_state,1
There isn’t any scientist saying the world will end I. 10-12 years I been hearing this 40 years.,DickJoh52805729,1
"Terrence of the North m fighter (C) -20% XP S:3 I:10 W:9 D:11 C:11 Ch:12 AC:5 [14] (chain) HP:4 club, backpack, wine skin w/wine 40gp #DnD",RollMeaPC,1
3 year me achieve on car (i10) pure 2000 se Jayda downline h .Er Rajees kumar roy ,Nitishk93134896,1
"Sir there are similar mosques in F-8, F-10 & I-10 as well. Kindly start an operation against them as well",nadirdaman,1
The exit ramp I-10 East at mile marker 121 (Butte La Rose) is blocked due to a disabled tractor trailer. Congestion is minimal.,Laf_Traffic,1
[INDIO] San Gorgonio Pass I10 E Sr60 W Con / 6th St Ofr **Trfc Collision-Unkn Inj** http://m.chp.ca.gov/incident.aspx?id=190224IC00056,chp_riv,1
Two mosques in I-10/3 play area or can say green belt.,qaziammar80,1
"The Latest: Part of I-10 closed because of snow: FLAGSTAFF, Ariz. (AP) — The Latest on winter weather in the U.S. Southwest (all times local): http://dlvr.it/QzZT94 #ImpeachTrump #ImpeachKavanaugh #TheResistance",cahulaan,1
"I-10: Due to possible High Winds, Motorists are advised to use caution on the Apalachicola River Bridge near Mile...http://fl511.com/List/Alerts",fl511_panhandl,1
"I-10: Due to possible High Winds, Motorists are advised to use caution on the Apalachicola River Bridge near Mile...http://fl511.com/List/Alerts",fl511_state,1
Rashford,GAZALDINHO_I_10,1
MAM 14 ULTÓW I 10 SEMI KURWW JA NIE CHCE WRÓCIĆ DO PIERDLA,yoongxki,1
Because the same girls won’t ever date you ne i10 yakho. They will call you sorta names ,iKingVele_Le,1
Baldwin Park I10 W / E Holt Ave **Hit and Run No Injuries** http://m.chp.ca.gov/incident.aspx?id=190224LA00659,chp_la,1
I throw all of my wardrobe on the floor because I 10 minutes ago wanted to organize it.......,samxback,1
Goat i 10 parodystow are back again,Bojlerinho,1
I-10 EB near 43rd Ave: A crash is blocking the HOV lane. #phxtraffic,ArizonaDOT,1
Baldwin Park I10 E / Holt Ave W Onr **Trfc Collision-Unkn Inj** http://m.chp.ca.gov/incident.aspx?id=190224LA00603,chp_la,1
#FrontierHyundai Congratulations to Ms. Rajni purchase of Hyundai Grand i-10 ,FrontierHyundai,1
#FrontierHyundai Congratulations to Mr. Rajat Chugh purchase of Hyundai Grand i-10 ,FrontierHyundai,1
Baldwin Park I10 E / Holt Ave E Onr **Trfc Collision-1141 Enrt** http://m.chp.ca.gov/incident.aspx?id=190224LA00588,chp_la,1
A couple of years ago I took note and found out that the trip from my home in SC to TX is within about 20 miles of how far it is to drive across TX on I-10! https://www.facebook.com/story.php?story_fbid=10216663494611804&amp;id=1593833670,Bart1963,1
Airpods i10 TWS $5 QI Wireless Charging Pad https://www.vidrise.com/v/ckqjd/ @GetKnockies,mikesunboxing,1
LA S Santa Fe Ave / I10 E **Report of Fire** http://m.chp.ca.gov/incident.aspx?id=190224LA00532,chp_la,1
"Qalam Movement has opened its second branch in I-10. Despite the lack of a building, Qalam Movement has taken the initiative to bring education to the streets of these children. Join hands with Qalam for indeed... https://www.facebook.com/784549335013469/posts/1476354052499657/",kayanipti797,1
The Latest: Part of I-10 closed because of snow https://ift.tt/2U5R9gY,kingpin25836551,1
The Latest: Part of I-10 closed because of snow https://ift.tt/2Nq9EdE,veneziakastner,1
Moderate Crash cleared on I-10 EB @MP23 near Exit 23/Michigan Ave. in Mobile.,algo_mob,1
Moderate Crash cleared on I-10 EB @MP23 near Exit 23/Michigan Ave. in Mobile.,AlgoTraffic,1
Baldwin Park I10 E / HOLT AVE OFR **Trfc Collision-Unkn Inj** http://m.chp.ca.gov/incident.aspx?id=190224LA00505,chp_la,1
Fog cleared on I-10 both dir. @MP27.9 near Exit 27/Causeway in Mobile.,algo_mob,1
Fog cleared on I-10 both dir. @MP27.9 near Exit 27/Causeway in Mobile.,AlgoTraffic,1
The Latest: Part of I-10 closed because of snow https://ift.tt/2Nq9EdE,veneziakastner,1
[IE] San Bernardino I10 W Eo / Cedar Ave **Trfc Collision-1141 Enrt** http://m.chp.ca.gov/incident.aspx?id=190224IN00220,chp_riv,1
Pretty sure dude was drivin his truck on the wrong side of I10 and totaled his shit into the shoulder wall smh,UrFavoriteGinga,1
Stuck in the middle of fucking I10 cause of an accident. I'm finna take my dumbass to sleep.,Gabrielalva93,1
"7/7 I meet hundreds of Islamabadis everyday, and be known! There is an exponential increase in street crimes specially in i-10 islamabad. We need to address this NOW because #IslamabadNeedsAttention",MianAslam_,1
"I-10 East @Sunland Park, Roadwork, All lanes closed, All Traffic must exit at Sunland Park exit 13, Follow detour, clearing time Mon. @6 am, Alt Rte",EPPOLICE,1
[IE] San Bernardino I10 E / Yucaipa Blvd **Trfc Collision-Unkn Inj** http://m.chp.ca.gov/incident.aspx?id=190224IN00198,chp_riv,1
I 10 PC FISSI PER GIOCARE CHE VANNO PER LA MAGGIORE #pc #gaming #gamingpc #gamingpcdesktop #pcfissi #pcfissigioco #pcdesktop #pcdesktopgioco #desktop #computer #computerdesktop #pcassemblato #informatica #personalcomputer #videogiochi #geek #hardware #wi… https://ift.tt/2U1ow4M,Luna42com_it,1
NowPlaying Empty Title - Empty Title https://www.lanuevaeradeacuario.org/radio-gnostica/ 10:15,AMUNRA56,1
"HAPPENING NOW! Sunday, Feb 24: • I-10 East is closed between the Sunland exit ramp and the Sunland entrance ramp • The North Mesa on-ramp and the Resler on-ramp to I-10 East are closed @txdotelp",GO10EP,1
Central LA I10 E / N State St **Hit and Run No Injuries** http://m.chp.ca.gov/incident.aspx?id=190224LA00320,chp_la,1
Moderate Crash on I-10 EB @MP23 near Exit 23/Michigan Ave. in Mobile. Expect moderate delays. More details: https://www.algotraffic.com/Events/Details?id=360236,algo_mob,1
Moderate Crash on I-10 EB @MP23 near Exit 23/Michigan Ave. in Mobile. Expect moderate delays. More details: https://www.algotraffic.com/Events/Details?id=360236,AlgoTraffic,1
"(i^10)(8^10)... My opinion might imply tyst I want a slice of bread that has been turned into burned dust, or lava bread",Flaate_,1
Central LA I10 E / Soto St **Wrong Way Driver** http://m.chp.ca.gov/incident.aspx?id=190224LA00288,chp_la,1
East LA I10 E / City Terrace **Wrong Way Driver** http://m.chp.ca.gov/incident.aspx?id=190224LA00294,chp_la,1
The Latest: Part of I-10 closed because of snow ,IndicaBady,1
Moderate Crash cleared on I-10 WB @MP26.9 near Wallace Tunnel in Mobile.,algo_mob,1
