,tweet,username,date,after_incident,langs
14,"[Feb 10 | ] || Olivia en el evento ""2020 Elton John AIDS Foundation Oscar Viewing Party"" en Los Ángeles, CA #2 © Getty Images / GotCeleb ",OliviaHoltMX,Thu Feb 13 03:58:43 +0000 2020,1,en
15,"I'm at I-5 / CA-2 Interchange in Los Angeles, CA ",chtucker18,Thu Jan 30 19:29:27 +0000 2020,1,en
16,"⠀⠀⠀⠀⠀⠀⠀⠀⠀ 2/3: IA, TN, TX, UT, VT, WA 2/4: AR, NH 2/7: NC, OK 2/10: ME, MS, VA 2/12: MA, MO 2/14: ID 2/15: AL 2/17: CA 2/18: AZ, FL, HI, IL, OH 2/19: AK 2/22: NV 2/24: CO, GA, MI If you see your state, text VOTER to 26797 to make sure you’re registered to vote! ",EIFoundation,Tue Jan 28 20:12:00 +0000 2020,1,en
17,"[Ene 24 | ] Olivia en la Alfombra Negra de los Spotify ""Best New Artist"" Party en Los Ángeles, CA #2 © GotCeleb / Gotty Images ",OliviaHoltMX,Sat Jan 25 22:42:42 +0000 2020,1,en
18,"San Francisco, CA - 2/21 Scottsdale, AZ - 3/19 Seattle, WA - 4/30 Get tickets ASAP http://shptickets.com",ReverieLOVE,Thu Jan 16 21:28:47 +0000 2020,1,en
19,"1) At first thought this was Glendale, CA. 2) For a moment I thought that dude with the goatee and pony tail was Paul Reubens in “Buffy the Vampire Slayer”",mannyinlofi,Mon Jan 13 06:41:01 +0000 2020,1,en
20,"Hermosa Beach, CA #2 ",whuesman,Fri Jan 10 03:11:46 +0000 2020,1,en
21,"Manhattan Beach, CA #2 – at Manhattan Beach Pier",whuesman,Fri Jan 10 03:09:41 +0000 2020,1,en
22,"Top 10 cities listening to our #TalkingAboutCars podcast, 10) Melbourne, AUST. 9)Riverside, CA 8)Minneapolis, MN 7)Hutchinson, KS 6) Dallas, TX. 5)Atlanta, GA. 4)Irvine, CA. 3) Long Beach CA. 2) Pasadena CA. And the number 1 city listening to our podcast!!..(drum roll)...LA!! ",talknaboutcars,Fri Dec 13 19:30:28 +0000 2019,1,en
23,"1. Venice, CA 2. @_NickPetrie_ The Drifter &amp; Richard Flanagan’s The Narrow Road To The Deep North 3. Not on your life, Bus.",ChrisHauty,Wed Nov 27 22:39:10 +0000 2019,1,en
24,"For all the Midwestern blustering, looks like The South and CA are top QB producers (also YEAH! CA2) ",BAMTrades,Mon Nov 04 18:04:29 +0000 2019,1,en
25,"OPEN HOUSE Today Bunker Hill Towers DTLA 850 W. 1st Street Unit 1610 Los Angeles, CA. 2 bdrm 2 bath luxury condo. In the heart of downtown LA. Full service building. Olympic pool, gym, tennis courts. Close to MOCA,… https://www.instagram.com/p/B4a1n0DnJVk/?igshid=51blsg3ijzp7",NicholasDiCerbo,Sun Nov 03 22:03:12 +0000 2019,1,en
26,11/07- Pike Bar 1836 E 4th St Long Beach CA (2 sets) 場所: Long Beach Pike https://www.instagram.com/p/B4Bq786juJg/?igshid=hupsuaua6c8i,mad3_official,Fri Oct 25 03:28:48 +0000 2019,1,en
27,"Bringing #SpaceCommand HQ to #VandenbergAFB,CA 2 hours from #LA makes great strategic sense to #USAirForce #Esper DoD because you have to engage young Americans In #Space through what they reposed to: style, Music, fashion,entertianment we have it in #LA - LadyRocket Mission – at Louis Vuitton X ( Museum And Pop Up Store )",LadyRocketSpace,Tue Oct 01 03:35:09 +0000 2019,1,en
28,"LXF III It’s going down tonight, MMA in Commerce, CA 2 KO’s and 1 UD so far with 6 fights to go – at Commerce Casino",whatsgoodnsport,Sun Sep 22 03:32:12 +0000 2019,1,en
29,"On the west side, CA-1 (Lincoln Blvd), CA-2 (Santa Monica Blvd), and CA-187 (Venice Blvd). ",ptudor,Wed Sep 11 04:02:07 +0000 2019,1,en
30,"Exciting 4th quarter in Carson, CA! 2 point conversion try by Colts is good, Marlon Mack (over 170 yards!) 24-24 with time winding down",DannyGradio,Sun Sep 08 22:52:56 +0000 2019,1,en
31,That sandwich just CA 2 weeks ago lmao,FreeeLucifer,Tue Aug 27 21:38:17 +0000 2019,1,en
32,@StJohnBoscoHS Braves @citybellflower CA #2 Preseason in the Country vs DeMatha on @espn.21-7 at halftime. #GoBraves @St. John Bosco High School https://www.instagram.com/p/B1kk7YogUt-/?igshid=z9wxslbl8rju,JaimeAVasquez,Sun Aug 25 03:15:38 +0000 2019,1,en
33,"I think it was a whole nother quake... Magnitude 4.0 earthquake 18 miles from Lancaster, CA · 2:00 AM ",DeathwishDena,Sat Jul 06 09:24:38 +0000 2019,1,en
34,Moved from Brazil to CA 2 months ago. Never thought that I would feel an earthquake so soon. But relieved that everything is ok and hoping that this was the last big one for now.,RodrigoRadtke,Sat Jul 06 05:31:45 +0000 2019,1,en
35,"1. Originally NY and now CA 2/3. Writing my first book, on how we can achieve unity",marcreiser,Tue Jul 02 02:53:08 +0000 2019,1,en
36,"1. Los Angeles, CA. 2. No 3. Yes, 2 seasons ago. We flew to Pittsburgh to watch Steelers Vs Vikings (Jujus first to game)",BigBserrano,Wed Jun 26 20:33:41 +0000 2019,1,en
37,"Partial virtual tour of 8738 Delgany Avenue Unit 106 Playa Del Rey, CA. 2 bedroom, 2 bath 1177 sqft condo listed at $689,000. HOA $315/month. Full link / https://youtu.be/jG6Jux8WOdw / #virtualtour #playadelrey #compass @compass",ronnel_parham5R,Sun Jun 23 01:01:27 +0000 2019,1,en
38,#bruinhearts fellow @JeffHsuMD giving Cardiology GR on his basic research work on vascular ca2+and passion of @UCLASportCardio combined into 1–the paradoxical assoc. of higher CAC in master endurance athletes. What’s the link?? Great talk making us ? What we think we know. – at Ronald Reagan UCLA Medical Center,datsunian,Sat Jun 15 02:17:07 +0000 2019,1,en
39,"Tucker, California is the 2nd biggest State in the Union, Alaska, is bigger, it would stretch from San Francisco, CA., 2 Denver, CO., &amp; from Vancouver, Canada, 2 Tijuana, Mexico, P.S. &amp; that’s doesn’t include, Alaska’s inland passage &amp;/or its Western Inlands!",slnepul,Sat May 25 01:48:14 +0000 2019,1,en
40,"Brokers Open today 5/14 11-2pm 2314 JUPITER DR LOS ANGELES CA $2,699,000 1404 DEVLIN DR LOS ANGELES CA $4,495,000 #LA#bjornfarrugiarealestate #hiltonhyland #luxuryhomes… https://www.instagram.com/p/Bxcv7I3HrN6/?utm_source=ig_twitter_share&amp;igshid=v3dvwyphlsbp",AlphonsoBjorn,Tue May 14 16:12:13 +0000 2019,1,en
41,@cbs2kcal9 change the scrolling ticker writer. You’ve been telling us that CA39 is closed from CA 2 to NF -3N07 since November. And you just did it again 4 times in a row. Enough!,andycharlton2,Thu May 02 13:37:19 +0000 2019,1,en
42,"If i recall very mild—1-2 segments, prob in diag/distal lad. But with RF and his multiple PCIs & redistribution it may be underestimated. & diffuse nonobstructive ca2+ can clot/rupture. When not in HF he’s NYHA I-II. Also he’s teritary referral &amp; lives &gt;100 miles away. Good case.",datsunian,Sun Apr 21 21:25:43 +0000 2019,1,en
43,Coming Soon Townhouse 7320 Lennox Ave Van Nuys CA 2 Bedroom | 2.5 Bathroom Call me for details or private showing #sanfernandovalleyrealestate #emilianorealestateexcellence #agentemiliano #sellinghomes #buyerswanted #vannuys #realestatedoneright,HOMESSFV,Sat Apr 06 16:31:20 +0000 2019,1,en
44,"342 BROCKMONT DR GLENDALE CA $2,395,000 3 bed | 3 bath | 3,682 Sqft Spectacular architectural compound w/ jaw-dropping jetliner views all the way to downtown. This 1960 Mid-Century… https://www.instagram.com/p/Bv4YDwWDDFN/?utm_source=ig_twitter_share&amp;igshid=1w4c4xjmflf8a",AlphonsoBjorn,Fri Apr 05 16:39:33 +0000 2019,1,en
45,The patio will be buzzing tonight for your favorite place to people watch on CA-2!!! Our WeHo Happy Hour will have a new special today! The Queen City Chili! Come enjoy this new dish &amp; unwind this weekend! – at Saint Felix,saintfelixweho,Fri Mar 22 20:26:56 +0000 2019,1,en
46,"You have 2 chances to see my comedy act this month. 1.March 20th at 7 pm Bliss Art House Cafe (1249 Vine St, Los Angeles, CA) 2. March 27th, Van Nuys… https://www.instagram.com/p/BvFqrRtlsjYuSP4ntXy4W-uZqqJO244qKrvnZg0/?utm_source=ig_twitter_share&amp;igshid=14temzcbnx8k2",OluseyiThoughts,Sun Mar 17 00:00:56 +0000 2019,1,en
47,"It's National Margarita Day, Join us at @ultraloungeazul 129 W/ Main st, Alhambra, CA $2 Wells, $5 Magarita $50 Off Any Bottle and $99 Absolute before 10pm Say George's Guest List for… https://www.instagram.com/p/BuNWPOuAEfn/?utm_source=ig_twitter_share&amp;igshid=1psb0qj2r9qc5",George_FM_,Sat Feb 23 03:04:54 +0000 2019,1,en
48,"Missed our exit Ha! (@CA-2 / CA-134 Interchange in Glendale, CA) ",hapaniki,Mon Feb 18 20:29:07 +0000 2019,1,en
49,"Back in the saddle with Black Adidas this weekend and next! 2/10 - at Pixels, Riverside CA. 2/15 - at Redwood Bar &amp; Grill opening for He Who Can Not Be Named. 2/16 - at The Garage,… https://www.instagram.com/p/Btj-oYsHicb/?utm_source=ig_twitter_share&amp;igshid=1iu27kfrk09m7",CarlRaether,Thu Feb 07 01:29:43 +0000 2019,1,en
50,"Graffiti Tracking: 3108 CA-2, Santa Monica, CA 90404, USA",594Graffiti,Thu Jan 31 20:50:12 +0000 2019,1,en
51,"JUST LISTED! 1506 E 4th St, Long Beach, CA | 2 bed - 2 bath | approx 800 sqft | Listed @only 389k! - BROKERS OPEN Friday Jan. 25, 11-1pm OPEN HOUSE Saturday Jan. 26, 1-4pm OPEN HOUSE… https://www.instagram.com/p/Bs6RbslgYn0/?utm_source=ig_twitter_share&amp;igshid=5ixsmj7xo5zc",RoyLhanie,Thu Jan 24 22:16:52 +0000 2019,1,en
52,#KELESIO LIVE IN HOLLYWOOD CA 2/23/19 #pullupandturnup Courtesy of eddie_fuse #TEAMKELESIO Follow us @kelesiomusic @Kelesio @Hollywood https://www.instagram.com/p/Bsrlly5A_mA/?utm_source=ig_twitter_share&amp;igshid=t0gvb7043amo,Kelesio,Wed Jan 16 03:53:31 +0000 2019,1,en
53,"I'm at I-5 / CA-2 Interchange in Los Angeles, CA ",chtucker18,Sun Jan 13 20:01:47 +0000 2019,1,en
54,"Graffiti Tracking: 3219 CA-2, Santa Monica, CA 90404, USA",594Graffiti,Thu Dec 27 15:49:07 +0000 2018,1,en
55,The @barackobama highway Is #now #official with #new #signs On The #CA -134 #freeway (/CA-2 #interchange ) #glendale #pasadena #california @CA-2 / CA-134 Interchange https://www.instagram.com/p/BrpDSP7DohD/?utm_source=ig_twitter_share&amp;igshid=1vm8k1ox3n9xj,bulgarica,Fri Dec 21 07:44:08 +0000 2018,1,en
56,"701 W. Spruce St. Compton, CA 2 | 1 672 Sq. Ft., Lot: 4,997 Sq Ft. zoned R-2 Asking Price $359,999 . . . . #newlisting #newlistings #listing #listings #realestate #realestateinvestor… https://www.instagram.com/p/BpFtHx5F-SZ/?utm_source=ig_twitter_share&amp;igshid=1xfvid7lfm6xl",princejerms,Thu Oct 18 21:14:05 +0000 2018,1,en
57,Too Many Zooz!! Night 1 at Lodge Room ・ ・ ・ ・ ・ ・ ・ #toomanyzooz #leopellegrino #leop #brassband #saxophone #saxplayer #sax #baritonesax #hornsection #music #livemusic #subwaymusic… https://www.instagram.com/p/Bo7aRkcn_2o/?utm_source=ig_twitter_share&amp;igshid=ltcn8o9m9tfv,mari_ca2,Sun Oct 14 21:17:52 +0000 2018,1,en
58,TONIGHT YA BOI TAKES OVER! HOLLYWOOD COMES TO THE Ice House Comedy Club in the Main Room in Pasadena Ca! 2 Shows 8pm &amp; 10pm!!! Get your tickets before they sell out:… https://www.instagram.com/p/BoVJNrfHkYA/?utm_source=ig_twitter_share&amp;igshid=11i8ed9t3p3a2,ERICBLAKE21,Sun Sep 30 00:36:40 +0000 2018,1,en
59,TONIGHT YA BOI TAKES OVER! HOLLYWOOD COMES TO THE Ice House Comedy Club in the Main Room in Pasadena Ca! 2 Shows 8pm &amp; 10pm!!! Get your tickets before they sell… https://www.instagram.com/p/BoUpqv3HPFH/?utm_source=ig_twitter_share&amp;igshid=1w3i49pm6is8f,ERICBLAKE21,Sat Sep 29 20:01:02 +0000 2018,1,en
60,"I'm at CA-2 / I-210 Interchange in La Cañada Flintridge, CA https://www.swarmapp.com/c/jhX8fSzy8VO",hapaniki,Sat Sep 29 16:59:59 +0000 2018,1,en
61,"Home in Bell, Ca! 2 bedrooms and 2 bathrooms for $499,00! If the interested give us a call we would love to help! @Bell, California https://www.instagram.com/p/BoC2hTiHVv7/?utm_source=ig_twitter_share&amp;igshid=1jb5o6dcjwg1k",GiomarVasquez,Sat Sep 22 22:07:02 +0000 2018,1,en
62,Central LA Sr2 S / San Fernando Rd **Trfc Collision-Unkn Inj** http://m.chp.ca.gov/incident.aspx?id=200505LA02786,chp_la,Wed May 06 04:08:01 +0000 2020,1,en
63,Central LA I5 S / I5 S Sr2 W Con **Report of Fire** http://m.chp.ca.gov/incident.aspx?id=200504LA00342,chp_la,Mon May 04 12:52:01 +0000 2020,1,en
64,Central LA Sr2 N / Verdugo Rd **Report of Fire** http://m.chp.ca.gov/incident.aspx?id=200503LA02666,chp_la,Mon May 04 04:20:01 +0000 2020,1,en
65,Central LA Sr2 S / Verdugo Rd **Trfc Collision-1141 Enrt** http://m.chp.ca.gov/incident.aspx?id=200503LA01075,chp_la,Sun May 03 19:37:17 +0000 2020,1,en
66,Central LA Sr2 S / York Blvd **Trfc Collision-Unkn Inj** http://m.chp.ca.gov/incident.aspx?id=200503LA01080,chp_la,Sun May 03 19:37:02 +0000 2020,1,en
67,Central LA La002155t Sr2 S / I5 N Con **Trfc Collision-1141 Enrt** http://m.chp.ca.gov/incident.aspx?id=200503LA01079,chp_la,Sun May 03 19:36:47 +0000 2020,1,en
68,Altadena SR2 N / E Mountain St **Report of Fire** http://m.chp.ca.gov/incident.aspx?id=200503LA01056,chp_la,Sun May 03 19:28:32 +0000 2020,1,en
69,"SR 2 North, Los Angeles #California #powertothepeople check out @Spirit_Bombs photo @Spirit_Bombs #justgoshoot #nativeland #losangeles #earth #awesomeearth #earthpix #landscape_lovers #cali #landscape #naturelover… https://www.instagram.com/p/B6etISJn3mr/?igshid=1gp276iupt33p",Spirit_Bombs,Wed Dec 25 03:08:44 +0000 2019,1,en
70,"Over the summer my sister told me my nephew wants to be a dj. He’s 9. He had no idea that i’m a dj. So yea, I’m gonna be Uncle John. Here comes the Pioneer SR-2.",djbrig,Thu Dec 19 08:21:32 +0000 2019,1,en
71,My nephew is gonna be 9 and just bought him an SR2. Kid didn’t even know I was a dj when he told my sister he wants to be one. Runs in the family I guess.,djbrig,Tue Nov 12 07:34:21 +0000 2019,1,en
72,Selling my DDJ SR 2! Let me know if you would like to purchase https://ebay.us/WAfcMB via @eBay,TopShelfMichael,Mon Nov 11 06:44:33 +0000 2019,1,en
73,Rockin my sparkly new Pioneer DDJ-SR2 (i love this thing) BIG Thank you to @westwoodvillage for having me out to spin Movie Night this summer! Been so cool to meet some of my neighbors out in these streetssss … https://www.instagram.com/p/B10DKVvlSTJ/?igshid=182pgo0ode80d,DJMissNINJA,Sat Aug 31 03:29:55 +0000 2019,1,en
74,Hanging out with pops and an #arrialexa #sr2 #melroseavenue #losangeles #california @Melrose Avenue https://www.instagram.com/p/BtytZuPHOiz/?utm_source=ig_twitter_share&amp;igshid=v8lyqjw75vek,Sibongile,Tue Feb 12 18:47:47 +0000 2019,1,en
75,"Babysitting #arri #flex #sr2 #16mm #handheld #film #camera @Los Angeles, California https://www.instagram.com/p/BtMAJ-hBwWj/?utm_source=ig_twitter_share&amp;igshid=inl5eo5vvtc6",Sibongile,Mon Jan 28 18:01:22 +0000 2019,1,en
76," Due to underground @socalgas work, eastbound Santa Monica Blvd lanes from La Cienega to Croft are closed. La Cienega will remain open for north, south and westbound traffic. It is anticipated that the work will take approximately 12-15 hours. ",WeHoCity,Fri May 08 22:38:06 +0000 2020,1,en
77,My work is on Santa Monica Blvd and from where I live in North Hollywood it's an hour commute on a good day.,Journeys_Film,Fri May 08 20:59:29 +0000 2020,1,en
78,"It may be the first small steps, but walking down Santa Monica Blvd in @WeHoCity today, it’s so nice to see things coming back to life and retail stores open with curbside pickup again!! I actually have a smile on my face. Sun is shining- there is light on the horizon... ",JamesDukeMason,Fri May 08 20:58:45 +0000 2020,1,en
79,I guess it's finally a convenient time to close some lanes of Santa Monica Blvd for repairs ,BenBiking,Thu May 07 16:40:18 +0000 2020,1,en
80,lol but also @goodie_2_chucks the LADOT disabling of beg buttons has made crossing Santa Monica Blvd nearly impossible in spots. Just as the sun starts microwaving LA for 4 months.......,misteratkins,Wed May 06 19:47:57 +0000 2020,1,en
81,"Tuesday night...( Cinco De Mayo ) ...A quiet, empty street Santa Monica Blvd..( during Covid-19 crisis) ...Stay Safe Stay Healthy Everyone #tuesdaynight #roccosweho #inthistogether #cincodemayo @Rocco’s WeHo https://www.instagram.com/p/B_1jA7ljSnn/?igshid=107j8wr7loh88",culu2012,Wed May 06 06:39:51 +0000 2020,1,en
82,"HAPPY CINCO de MAYO Still have a few Industry Meals left. Text the CONTACT Matthew with your Full name, place you work(ed), food selection and pick up time at Rocco's WEHO 8900 Santa Monica Blvd. West Hollywoo #RoccosWeHo #RSWeHo #seventy7lounge #GayWeHo https://www.instagram.com/p/B_0L6zEjcyZ/",gay_losangeles,Wed May 06 06:00:10 +0000 2020,1,en
83,Yesterday as I was going to Santa Monica I exited the freeway at Wilshire Blvd &amp; went West I couldn’t believe the amount of homelessness on Wilshire &amp; San Vicente Blvds it’s right by the VA Hospital irs really sad for a supposedly wealthy country there’s so many homeless,sosuakahuna1,Tue May 05 22:36:05 +0000 2020,1,en
84,(and Santa Monica Blvd.),WorldCitizenLA,Tue May 05 18:38:36 +0000 2020,1,en
85,"Yea man., Decided to divert to Santa Monica first... Going to visit my childhood stomping grounds.. Malibu Beach right between Sunset Blvd and Topanga Canyon Blvd....",LogannnnnnnnnWm,Tue May 05 16:42:20 +0000 2020,1,en
86,"... We just drafted this 15-second spot for their updated Web site today... and as one of my favorite establishments near my Pacific Office, we hope they like it! Ye Olde Kings Head @yeoldekingshead 116 Santa Monica Blvd Santa Monica, California ...",BruceGordonMedi,Tue May 05 02:30:35 +0000 2020,1,en
87,Central LA Us101 S / Santa Monica Blvd **Report of Fire** http://m.chp.ca.gov/incident.aspx?id=200504LA01816,chp_la,Tue May 05 00:00:16 +0000 2020,1,en
88,"You said you are willing to drive. N.Y. Bagel and Deli, Wilshire Blvd btwn 22nd and 23rd in Santa Monica has really good NY bagels made fresh in their store daily.",larrymh,Mon May 04 01:44:13 +0000 2020,1,en
89,I live in West Hollywood. Santa Monica Blvd is packed and there’s a house party across the street from my apt. It’s everywhere,CAJenn1114,Sun May 03 23:46:19 +0000 2020,1,en
90,SMFD has cleared a Traffic Collision incident #20005593 CLOVERFIELD BLVD/SANTA MONICA BLVD.,SantaMonicaFire,Sun May 03 22:10:34 +0000 2020,1,en
91,"[Totally not cones] 14 years ago, I had a show at @taggallery [at the original location at Santa Monica Blvd x Yale] entitled “From Mar Vista”. I exhibited a grid of 40 small photoshopped photos of homes in my… https://www.instagram.com/p/B_vbmR-lFCy/?igshid=1376xin2r86ow",annembray,Sun May 03 21:39:36 +0000 2020,1,en
92,SMFD responding to a Traffic Collision CLOVERFIELD BLVD/SANTA MONICA BLVD. Possible traffic congestion. Inc.#20005593,SantaMonicaFire,Sun May 03 20:20:36 +0000 2020,1,en
93,See that a lot on Santa Monica blvd as well. (East Hollywood),mrchow323,Sun May 03 18:06:59 +0000 2020,1,en
94,"Drove around LA a few days ago. Started in Hollywood, took Venice blvd to Venice, to Malibu, up through Santa Monica mountains to Calabasas and back to hollywood in an hour and a half. Would’ve been less if I took the 10 to Venice",catalina_ann_,Sun May 03 17:45:55 +0000 2020,1,en
95,"It’s a gloomy weather today. I had to go to the post office. I saw more traffic on Santa Monica blvd., in West Los Angeles. @West Los Angeles https://www.instagram.com/p/B_naYy0pTPb/?igshid=lx1clci1sc14",MAPICOLA,Thu Apr 30 18:55:08 +0000 2020,1,en
96,Here in lovely Santa Monica Blvd they could care less about ur orders.... ,Ramirez90805ca,Thu Apr 30 18:08:00 +0000 2020,1,en
97,"A new crash for the #101fwy South in Silverlake: at Benton way, the left lane is blocked, tough from Santa Monica Blvd. Stay to the right and you’ll be OK #KNXTraffic #LATraffic @KNX1070",RoadSageLA,Tue Apr 28 22:47:00 +0000 2020,1,en
98,"It’s pretty cool honestly. Sorta 5 main streets tho, wilshire, Santa Monica Blvd, sunset Blvd, Olympic and pico.",BLKMDL3,Mon Apr 27 17:11:03 +0000 2020,1,en
99,When the only essential reason to leave the house is a calming drive down Santa Monica Blvd + a dozen of DK’s Glazed Donut Holes #DKSDONUTS #Quarantine #OpenForTakeout #PickUp #24Hours #OpenDuringCovid19… https://www.instagram.com/p/B_ddRa-pibv/?igshid=5k01hff7jvyg,DKSDONUTS,Sun Apr 26 22:07:53 +0000 2020,1,en
100,santa monica blvd. nikon 2.3 mega pixel point and shoot on phone booth 2002 #photography #nightphotography #pointandshoot #artificiallight #santamonicablvd #westhollywood #losangeles #empty #lonliness #crosswalk… https://www.instagram.com/p/B_aVVPUnL0e/?igshid=as3lt34hs9ew,fewbluehue,Sat Apr 25 17:00:46 +0000 2020,1,en
101,walking down santa monica blvd and finally getting some much needed male attention thank u men in cars for waving at me,andrearrrrrrr_,Wed Apr 22 01:06:20 +0000 2020,1,en
102,The #CD13 Clean Team helped remove an enormous bulky item trash pile from the public right of way on Oxford Ave between Virginia Ave and Santa Monica Blvd in #EastHollywood. – at East Hollywood,MitchOFarrell,Tue Apr 21 23:49:27 +0000 2020,1,en
103,someone on Santa Monica Blvd wont stop honking and I cannot imagine what their issue could be but I am about to march down there to find out,Annie_Devine,Tue Apr 21 23:08:30 +0000 2020,1,en
104,“Please come to LA and live forever...” I was walking down Santa Monica Blvd. about 10 years ago listening to that song and trying to get my girlfriend in North Carolina to move here so we could spend the rest of our lives together. I broke down in tears when that verse played.,bryceless,Mon Apr 20 20:14:24 +0000 2020,1,en
105, @metrolosangeles staff are expected to recommend moving forward with the Hybrid Alternative with design options to approach Santa Monica Blvd. from Beverly Blvd. beneath either La Cienega Blvd. or San Vicente Blvd.) along with the La Brea Avenue and Fairfax Avenue alternatives,JErickson85,Mon Apr 20 19:52:04 +0000 2020,1,en
106,"4/20 is upon us, tomorrow! We will have an assortment of green specialty donuts (without any extra special ingredients) until we sell out! It’s available for pickup 24/7 at our location at 1614 Santa Monica Blvd and… https://www.instagram.com/p/B_LsMWfJbmf/?igshid=gyf5dp9u0bj1",DKSDONUTS,Mon Apr 20 00:31:57 +0000 2020,1,en
107,"I first saw ""Surfwise"" at the Crest theater on Westwood Blvd. when it was released and it's been on a watchlist for a while. Quite a family! A worthy addition to any Surf Films library. @Santa Monica, California https://www.instagram.com/p/B_LXEuZJcAX/?igshid=1ug7z2zx9k0d6",Oldsurfhero,Sun Apr 19 21:27:23 +0000 2020,1,en
108,"Through a collaboration with my office, local residents, and @BSSLosAngeles, we were able to repair the sidewalk on Normandie Ave, between Santa Monica Blvd and Romaine Street. The end result improves pedestrian safety and makes for a more pleasant experience in the neighborhood. – at East Hollywood",MitchOFarrell,Thu Apr 16 01:21:18 +0000 2020,1,en
109,"A few minutes ago, a friend reached out 2 me 2 share that someone had put toilet paper on @RodeoDriveBH from Santa Monica Blvd to Wilshire Blvd. I immediately let BHPD know, and within moments, our amazing @BeverlyHillsPD caught the suspect. Once again, goodness wins ",LiliBosse1,Wed Apr 15 01:55:43 +0000 2020,1,en
